City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,sijunjung,-0.69,100.95,88.09,51,98,0.89,ID,1602816848
88,ponta delgada,37.73,-25.67,66.2,88,20,4.7,PT,1602816848
89,barrow,71.29,-156.79,21.2,85,75,17.22,US,1602816607
90,lonevag,60.53,5.49,37.4,93,0,11.41,NO,1602816849
91,sitka,57.05,-135.33,48.2,61,90,6.93,US,1602816849
92,asau,46.43,26.4,48.99,84,59,4.52,RO,1602816849
93,duluth,46.78,-92.11,37.4,64,75,4.7,US,1602816604
94,aksarka,66.56,67.8,28.44,93,100,5.84,RU,1602816850
95,barcelos,41.54,-8.62,52.0,100,3,5.82,PT,1602816787
96,ko samui,9.54,99.94,84.2,74,20,8.05,TH,1602816716
97,aginskoye,51.1,114.53,42.85,58,77,14.63,RU,1602816850
98,cariamanga,-4.33,-79.55,53.56,92,65,4.79,EC,1602816851
99,ilulissat,69.22,-51.1,35.6,69,97,3.36,GL,1602816851
100,rawah,34.48,41.91,67.24,55,0,10.47,IQ,1602816851
101,samarai,-10.62,150.67,79.95,80,9,12.21,PG,1602816852
102,aykhal,66.0,111.5,14.0,78,0,6.71,RU,1602816852
103,puerto carreno,6.19,-67.49,79.11,83,16,3.47,CO,1602816604
104,nara,34.69,135.8,75.99,49,40,4.7,JP,1602816852
105,port alfred,-33.59,26.89,61.23,82,71,6.67,ZA,1602816852
106,serov,59.6,60.58,44.82,74,77,9.98,RU,1602816852
107,benjamin constant,-4.38,-70.03,77.0,100,70,1.92,BR,1602816853
108,jipijapa,-1.33,-80.58,73.4,88,75,10.29,EC,1602816853
109,new norfolk,-42.78,147.06,57.0,35,81,3.0,AU,1602816853
110,tessalit,20.2,1.01,84.16,14,0,7.9,ML,1602816853
111,carballo,43.21,-8.69,44.6,100,45,4.7,ES,1602816854
112,arraial do cabo,-22.97,-42.03,71.19,86,91,14.47,BR,1602816712
113,garowe,8.41,48.48,77.63,67,34,10.51,SO,1602816854
114,airai,-8.93,125.41,81.54,34,99,3.22,TL,1602816854
115,orasac,44.63,16.07,47.48,86,100,1.12,BA,1602816854
116,tazovskiy,67.47,78.7,29.93,96,100,14.54,RU,1602816855
117,georgetown,5.41,100.34,82.4,83,40,3.15,MY,1602816855
118,hobart,-42.88,147.33,57.0,45,75,5.82,AU,1602816761
119,tuatapere,-46.13,167.68,55.0,60,100,10.0,NZ,1602816608
120,dubti,11.74,41.09,84.49,40,0,7.99,ET,1602816855
121,merritt island,28.54,-80.67,80.01,83,1,4.7,US,1602816856
122,fairbanks,64.84,-147.72,21.2,67,75,5.82,US,1602816808
123,dong xoai,11.53,106.92,76.51,95,100,2.57,VN,1602816856
124,tasiilaq,65.61,-37.64,42.8,81,100,13.87,GL,1602816856
125,upernavik,72.79,-56.15,29.19,86,88,4.56,GL,1602816856
